Line Segment Data	6400 items	feet
1-1	1-2	175	10
2-1	2-2	175	10
3-1	3-2	175	10
4-1	4-2	175	10
5-1	5-2	175	10
6-1	6-2	175	10
7-1	7-2	175	10
8-1	8-2	175	10
9-1	9-2	175	10
10-1	10-2	175	10
11-1	11-2	175	10
12-1	12-2	175	10
13-1	13-2	175	10
14-1	14-2	175	10
15-1	15-2	175	10
16-1	16-2	175	10
17-1	17-2	175	10
18-1	18-2	175	10
19-1	19-2	175	10
20-1	20-2	175	10
21-1	21-2	175	10
22-1	22-2	175	10
23-1	23-2	175	10
24-1	24-2	175	10
25-1	25-2	175	10
26-1	26-2	175	10
27-1	27-2	175	10
28-1	28-2	175	10
29-1	29-2	175	10
30-1	30-2	175	10
31-1	31-2	175	10
32-1	32-2	175	10
33-1	33-2	175	10
34-1	34-2	175	10
35-1	35-2	175	10
36-1	36-2	175	10
37-1	37-2	175	10
38-1	38-2	175	10
39-1	39-2	175	10
40-1	40-2	175	10
41-1	41-2	175	10
42-1	42-2	175	10
43-1	43-2	175	10
44-1	44-2	175	10
45-1	45-2	175	10
46-1	46-2	175	10
47-1	47-2	175	10
48-1	48-2	175	10
49-1	49-2	175	10
50-1	50-2	175	10
1-1	1-3	250	11
2-1	2-3	250	11
3-1	3-3	250	11
4-1	4-3	250	11
5-1	5-3	250	11
6-1	6-3	250	11
7-1	7-3	250	11
8-1	8-3	250	11
9-1	9-3	250	11
10-1	10-3	250	11
11-1	11-3	250	11
12-1	12-3	250	11
13-1	13-3	250	11
14-1	14-3	250	11
15-1	15-3	250	11
16-1	16-3	250	11
17-1	17-3	250	11
18-1	18-3	250	11
19-1	19-3	250	11
20-1	20-3	250	11
21-1	21-3	250	11
22-1	22-3	250	11
23-1	23-3	250	11
24-1	24-3	250	11
25-1	25-3	250	11
26-1	26-3	250	11
27-1	27-3	250	11
28-1	28-3	250	11
29-1	29-3	250	11
30-1	30-3	250	11
31-1	31-3	250	11
32-1	32-3	250	11
33-1	33-3	250	11
34-1	34-3	250	11
35-1	35-3	250	11
36-1	36-3	250	11
37-1	37-3	250	11
38-1	38-3	250	11
39-1	39-3	250	11
40-1	40-3	250	11
41-1	41-3	250	11
42-1	42-3	250	11
43-1	43-3	250	11
44-1	44-3	250	11
45-1	45-3	250	11
46-1	46-3	250	11
47-1	47-3	250	11
48-1	48-3	250	11
49-1	49-3	250	11
50-1	50-3	250	11
1-1	1-7	300	1
2-1	2-7	300	1
3-1	3-7	300	1
4-1	4-7	300	1
5-1	5-7	300	1
6-1	6-7	300	1
7-1	7-7	300	1
8-1	8-7	300	1
9-1	9-7	300	1
10-1	10-7	300	1
11-1	11-7	300	1
12-1	12-7	300	1
13-1	13-7	300	1
14-1	14-7	300	1
15-1	15-7	300	1
16-1	16-7	300	1
17-1	17-7	300	1
18-1	18-7	300	1
19-1	19-7	300	1
20-1	20-7	300	1
21-1	21-7	300	1
22-1	22-7	300	1
23-1	23-7	300	1
24-1	24-7	300	1
25-1	25-7	300	1
26-1	26-7	300	1
27-1	27-7	300	1
28-1	28-7	300	1
29-1	29-7	300	1
30-1	30-7	300	1
31-1	31-7	300	1
32-1	32-7	300	1
33-1	33-7	300	1
34-1	34-7	300	1
35-1	35-7	300	1
36-1	36-7	300	1
37-1	37-7	300	1
38-1	38-7	300	1
39-1	39-7	300	1
40-1	40-7	300	1
41-1	41-7	300	1
42-1	42-7	300	1
43-1	43-7	300	1
44-1	44-7	300	1
45-1	45-7	300	1
46-1	46-7	300	1
47-1	47-7	300	1
48-1	48-7	300	1
49-1	49-7	300	1
50-1	50-7	300	1
1-3	1-4	200	11
2-3	2-4	200	11
3-3	3-4	200	11
4-3	4-4	200	11
5-3	5-4	200	11
6-3	6-4	200	11
7-3	7-4	200	11
8-3	8-4	200	11
9-3	9-4	200	11
10-3	10-4	200	11
11-3	11-4	200	11
12-3	12-4	200	11
13-3	13-4	200	11
14-3	14-4	200	11
15-3	15-4	200	11
16-3	16-4	200	11
17-3	17-4	200	11
18-3	18-4	200	11
19-3	19-4	200	11
20-3	20-4	200	11
21-3	21-4	200	11
22-3	22-4	200	11
23-3	23-4	200	11
24-3	24-4	200	11
25-3	25-4	200	11
26-3	26-4	200	11
27-3	27-4	200	11
28-3	28-4	200	11
29-3	29-4	200	11
30-3	30-4	200	11
31-3	31-4	200	11
32-3	32-4	200	11
33-3	33-4	200	11
34-3	34-4	200	11
35-3	35-4	200	11
36-3	36-4	200	11
37-3	37-4	200	11
38-3	38-4	200	11
39-3	39-4	200	11
40-3	40-4	200	11
41-3	41-4	200	11
42-3	42-4	200	11
43-3	43-4	200	11
44-3	44-4	200	11
45-3	45-4	200	11
46-3	46-4	200	11
47-3	47-4	200	11
48-3	48-4	200	11
49-3	49-4	200	11
50-3	50-4	200	11
1-3	1-5	325	11
2-3	2-5	325	11
3-3	3-5	325	11
4-3	4-5	325	11
5-3	5-5	325	11
6-3	6-5	325	11
7-3	7-5	325	11
8-3	8-5	325	11
9-3	9-5	325	11
10-3	10-5	325	11
11-3	11-5	325	11
12-3	12-5	325	11
13-3	13-5	325	11
14-3	14-5	325	11
15-3	15-5	325	11
16-3	16-5	325	11
17-3	17-5	325	11
18-3	18-5	325	11
19-3	19-5	325	11
20-3	20-5	325	11
21-3	21-5	325	11
22-3	22-5	325	11
23-3	23-5	325	11
24-3	24-5	325	11
25-3	25-5	325	11
26-3	26-5	325	11
27-3	27-5	325	11
28-3	28-5	325	11
29-3	29-5	325	11
30-3	30-5	325	11
31-3	31-5	325	11
32-3	32-5	325	11
33-3	33-5	325	11
34-3	34-5	325	11
35-3	35-5	325	11
36-3	36-5	325	11
37-3	37-5	325	11
38-3	38-5	325	11
39-3	39-5	325	11
40-3	40-5	325	11
41-3	41-5	325	11
42-3	42-5	325	11
43-3	43-5	325	11
44-3	44-5	325	11
45-3	45-5	325	11
46-3	46-5	325	11
47-3	47-5	325	11
48-3	48-5	325	11
49-3	49-5	325	11
50-3	50-5	325	11
1-5	1-6	250	11
2-5	2-6	250	11
3-5	3-6	250	11
4-5	4-6	250	11
5-5	5-6	250	11
6-5	6-6	250	11
7-5	7-6	250	11
8-5	8-6	250	11
9-5	9-6	250	11
10-5	10-6	250	11
11-5	11-6	250	11
12-5	12-6	250	11
13-5	13-6	250	11
14-5	14-6	250	11
15-5	15-6	250	11
16-5	16-6	250	11
17-5	17-6	250	11
18-5	18-6	250	11
19-5	19-6	250	11
20-5	20-6	250	11
21-5	21-6	250	11
22-5	22-6	250	11
